,Department_UPC,ID_author,Number_articles
17463,Departament d'Enginyeria Civil i Ambiental,180350,66
17493,Departament d'Enginyeria Civil i Ambiental,180436,17
17512,Departament d'Enginyeria Civil i Ambiental,180490,62
17513,Departament d'Enginyeria Civil i Ambiental,180491,26
17528,Departament d'Enginyeria Civil i Ambiental,180533,15
17535,Departament d'Enginyeria Civil i Ambiental,180570,17
17546,Departament d'Enginyeria Civil i Ambiental,180602,21
17551,Departament d'Enginyeria Civil i Ambiental,180611,11
17564,Departament d'Enginyeria Civil i Ambiental,180657,37
17580,Departament d'Enginyeria Civil i Ambiental,180708,53
17586,Departament d'Enginyeria Civil i Ambiental,180722,47
17591,Departament d'Enginyeria Civil i Ambiental,180747,72
17603,Departament d'Enginyeria Civil i Ambiental,180789,26
17605,Departament d'Enginyeria Civil i Ambiental,180795,1
17616,Departament d'Enginyeria Civil i Ambiental,180825,28
17625,Departament d'Enginyeria Civil i Ambiental,180863,20
17626,Departament d'Enginyeria Civil i Ambiental,180864,25
17627,Departament d'Enginyeria Civil i Ambiental,180866,82
17638,Departament d'Enginyeria Civil i Ambiental,180918,17
17645,Departament d'Enginyeria Civil i Ambiental,180934,79
17658,Departament d'Enginyeria Civil i Ambiental,180995,35
17679,Departament d'Enginyeria Civil i Ambiental,181079,34
17681,Departament d'Enginyeria Civil i Ambiental,181095,50
17696,Departament d'Enginyeria Civil i Ambiental,181167,4
17710,Departament d'Enginyeria Civil i Ambiental,181194,21
17723,Departament d'Enginyeria Civil i Ambiental,181215,6
17734,Departament d'Enginyeria Civil i Ambiental,181240,2
17740,Departament d'Enginyeria Civil i Ambiental,181271,30
17749,Departament d'Enginyeria Civil i Ambiental,181334,38
17765,Departament d'Enginyeria Civil i Ambiental,181369,36
17766,Departament d'Enginyeria Civil i Ambiental,181374,8
17776,Departament d'Enginyeria Civil i Ambiental,181409,61
17811,Departament d'Enginyeria Civil i Ambiental,181535,33
17863,Departament d'Enginyeria Civil i Ambiental,181728,39
17903,Departament d'Enginyeria Civil i Ambiental,181890,36
17910,Departament d'Enginyeria Civil i Ambiental,181912,1
17952,Departament d'Enginyeria Civil i Ambiental,182055,25
17963,Departament d'Enginyeria Civil i Ambiental,182103,27
17974,Departament d'Enginyeria Civil i Ambiental,182143,22
17981,Departament d'Enginyeria Civil i Ambiental,182162,21
17986,Departament d'Enginyeria Civil i Ambiental,182180,5
18010,Departament d'Enginyeria Civil i Ambiental,182318,22
18013,Departament d'Enginyeria Civil i Ambiental,182328,34
18014,Departament d'Enginyeria Civil i Ambiental,182330,34
18022,Departament d'Enginyeria Civil i Ambiental,182365,28
18044,Departament d'Enginyeria Civil i Ambiental,182458,40
18047,Departament d'Enginyeria Civil i Ambiental,182477,1
18052,Departament d'Enginyeria Civil i Ambiental,182495,32
18072,Departament d'Enginyeria Civil i Ambiental,182627,68
18076,Departament d'Enginyeria Civil i Ambiental,182639,80
18084,Departament d'Enginyeria Civil i Ambiental,182656,51
18091,Departament d'Enginyeria Civil i Ambiental,182718,11
18095,Departament d'Enginyeria Civil i Ambiental,182732,53
18106,Departament d'Enginyeria Civil i Ambiental,182762,1
18110,Departament d'Enginyeria Civil i Ambiental,182782,52
18111,Departament d'Enginyeria Civil i Ambiental,182797,34
18149,Departament d'Enginyeria Civil i Ambiental,182961,49
18155,Departament d'Enginyeria Civil i Ambiental,183019,50
18265,Departament d'Enginyeria Civil i Ambiental,1918105,7
18266,Departament d'Enginyeria Civil i Ambiental,1918107,14
18277,Departament d'Enginyeria Civil i Ambiental,1918190,3
18287,Departament d'Enginyeria Civil i Ambiental,1918239,24
18290,Departament d'Enginyeria Civil i Ambiental,1918254,7
18300,Departament d'Enginyeria Civil i Ambiental,19686905,7
18301,Departament d'Enginyeria Civil i Ambiental,19686978,11
18304,Departament d'Enginyeria Civil i Ambiental,19687296,13
18324,Departament d'Enginyeria Civil i Ambiental,19688093,23
18334,Departament d'Enginyeria Civil i Ambiental,19737601,2
18347,Departament d'Enginyeria Civil i Ambiental,20338560,8
18351,Departament d'Enginyeria Civil i Ambiental,20338744,6
18352,Departament d'Enginyeria Civil i Ambiental,20338774,27
18353,Departament d'Enginyeria Civil i Ambiental,20338906,8
18355,Departament d'Enginyeria Civil i Ambiental,20339058,3
18369,Departament d'Enginyeria Civil i Ambiental,2070129,13
18403,Departament d'Enginyeria Civil i Ambiental,2163686,62
18404,Departament d'Enginyeria Civil i Ambiental,21638900,9
18419,Departament d'Enginyeria Civil i Ambiental,2173166,25
18427,Departament d'Enginyeria Civil i Ambiental,21986840,4
18470,Departament d'Enginyeria Civil i Ambiental,22038746,2
18498,Departament d'Enginyeria Civil i Ambiental,2246866,7
18500,Departament d'Enginyeria Civil i Ambiental,2251458,18
18547,Departament d'Enginyeria Civil i Ambiental,23640801,3
18580,Departament d'Enginyeria Civil i Ambiental,23641846,5
18582,Departament d'Enginyeria Civil i Ambiental,23641905,51
18584,Departament d'Enginyeria Civil i Ambiental,23641973,9
18597,Departament d'Enginyeria Civil i Ambiental,25170552,2
18598,Departament d'Enginyeria Civil i Ambiental,25170570,4
18626,Departament d'Enginyeria Civil i Ambiental,25188428,1
18641,Departament d'Enginyeria Civil i Ambiental,25191123,1
18645,Departament d'Enginyeria Civil i Ambiental,25208002,2
18657,Departament d'Enginyeria Civil i Ambiental,25212226,1
18667,Departament d'Enginyeria Civil i Ambiental,25846955,1
18673,Departament d'Enginyeria Civil i Ambiental,25848490,10
18679,Departament d'Enginyeria Civil i Ambiental,25866204,1
18685,Departament d'Enginyeria Civil i Ambiental,25888126,5
18688,Departament d'Enginyeria Civil i Ambiental,25888918,1
18691,Departament d'Enginyeria Civil i Ambiental,25894179,2
18694,Departament d'Enginyeria Civil i Ambiental,25896389,1
18716,Departament d'Enginyeria Civil i Ambiental,25959590,3
18723,Departament d'Enginyeria Civil i Ambiental,25961459,1
18728,Departament d'Enginyeria Civil i Ambiental,25976600,3
18751,Departament d'Enginyeria Civil i Ambiental,26716325,27
18757,Departament d'Enginyeria Civil i Ambiental,2746860,58
18764,Departament d'Enginyeria Civil i Ambiental,27618239,1
18765,Departament d'Enginyeria Civil i Ambiental,27618269,1
18767,Departament d'Enginyeria Civil i Ambiental,27813758,18
18773,Departament d'Enginyeria Civil i Ambiental,28619762,2
18808,Departament d'Enginyeria Civil i Ambiental,29595197,2
18809,Departament d'Enginyeria Civil i Ambiental,29595414,2
18810,Departament d'Enginyeria Civil i Ambiental,29595909,3
18814,Departament d'Enginyeria Civil i Ambiental,29694857,1
18815,Departament d'Enginyeria Civil i Ambiental,29766499,1
18823,Departament d'Enginyeria Civil i Ambiental,29939134,1
18828,Departament d'Enginyeria Civil i Ambiental,30434955,12
18838,Departament d'Enginyeria Civil i Ambiental,3121708,114
18848,Departament d'Enginyeria Civil i Ambiental,31874530,1
18876,Departament d'Enginyeria Civil i Ambiental,3274599,3
18878,Departament d'Enginyeria Civil i Ambiental,32847672,1
18891,Departament d'Enginyeria Civil i Ambiental,4445401,32
18897,Departament d'Enginyeria Civil i Ambiental,4446332,8
18899,Departament d'Enginyeria Civil i Ambiental,4452634,6
18902,Departament d'Enginyeria Civil i Ambiental,4505592,2
18926,Departament d'Enginyeria Civil i Ambiental,5220620,11
18935,Departament d'Enginyeria Civil i Ambiental,5317544,55
18964,Departament d'Enginyeria Civil i Ambiental,8632753,6
18969,Departament d'Enginyeria Civil i Ambiental,8809714,33
18981,Departament d'Enginyeria Civil i Ambiental,9670688,8
18983,Departament d'Enginyeria Civil i Ambiental,9966666,8
19006,Departament d'Enginyeria Electrònica,11003033,10
19072,Departament d'Enginyeria Electrònica,11213464,12
19198,Departament d'Enginyeria Electrònica,15003167,24
19199,Departament d'Enginyeria Electrònica,15003169,13
19236,Departament d'Enginyeria Electrònica,15347235,26
