Publication_year,Department_UPC,ID_article
2021,Departament de Ciencia i Enginyeria Nautiques,16
2021,Departament de Ciencies de la Computacio,72
2021,Departament de Fisica,286
2021,Departament de Matematiques,231
2021,Departament de Mecanica de Fluids,62
2021,Departament de Maquines i Motors Termics,35
2021,Departament de Projectes Arquitectonics,19
2021,Departament de Representacio Arquitectonica,16
2021,Departament de Resistencia de Materials i Estructures a l'Enginyeria,56
2021,Departament de Tecnologia de l'Arquitectura,84
2021,Departament de Teoria del Senyal i Comunicacions,107
2021,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,40
2021,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2021,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,1
2021,Grup de Recerca Aplicada en Hidrometeorologia,1
2021,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,2
2021,Institut d'Organitzacio i Control de Sistemes Industrials,0
2021,Institut de Ciencies de l'Educacio,14
2021,Institut de Robotica i Informatica Industrial,17
2021,Institut de Tecniques Energetiques,14
2022,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,1
2022,Centre Tecnologic de Vilanova i la Geltru,8
2022,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",3
2022,Catedra UNESCO de Sostenibilitat,0
2022,Departament d'Arquitectura de Computadors,64
2022,Departament d'Enginyeria Agroalimentaria i Biotecnologia,35
2022,Departament d'Enginyeria Civil i Ambiental,226
2022,Departament d'Enginyeria Electronica,78
2022,Departament d'Enginyeria Electrica,56
