Publication_year,Department_UPC,ID_article
2018,Institut de Tècniques Energètiques,5
2019,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,2
2019,Centre Tecnològic de Vilanova i la Geltrú,9
2019,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",9
2019,Càtedra UNESCO de Sostenibilitat,0
2019,Departament d'Arquitectura de Computadors,82
2019,Departament d'Enginyeria Agroalimentària i Biotecnologia,62
2019,Departament d'Enginyeria Civil i Ambiental,313
2019,Departament d'Enginyeria Electrònica,96
2019,Departament d'Enginyeria Elèctrica,68
2019,Departament d'Enginyeria Mecànica,60
2019,"Departament d'Enginyeria Minera, Industrial i TIC",41
2019,Departament d'Enginyeria Química,204
2019,Departament d'Enginyeria Telemàtica,32
2019,Departament d'Enginyeria de Projectes i de la Construcció,36
2019,Departament d'Enginyeria de Serveis i Sistemes d'Informació,20
2019,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",113
2019,Departament d'Estadística i Investigació Operativa,63
2019,Departament d'Expressió Gràfica a l'Enginyeria,31
2019,Departament d'Organització d'Empreses,70
2019,Departament d'Urbanisme i Ordenació del Territori,39
2019,Departament d'Òptica i Optometria,36
2019,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,131
2019,Departament de Ciència i Enginyeria Nàutiques,13
2019,Departament de Ciències de la Computació,60
2019,Departament de Física,182
2019,Departament de Matemàtiques,201
2019,Departament de Mecànica de Fluids,55
2019,Departament de Màquines i Motors Tèrmics,52
2019,Departament de Projectes Arquitectònics,30
2019,Departament de Representació Arquitectònica,17
2019,Departament de Resistència de Materials i Estructures a l'Enginyeria,30
2019,Departament de Tecnologia de l'Arquitectura,84
2019,Departament de Teoria del Senyal i Comunicacions,114
2019,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,50
2019,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2019,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2019,Grup de Recerca Aplicada en Hidrometeorologia,3
2019,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,4
2019,Institut d'Organització i Control de Sistemes Industrials,4
2019,Institut de Ciències de l'Educació,3
2019,Institut de Robòtica i Informàtica Industrial,22
2019,Institut de Tècniques Energètiques,8
2020,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,6
2020,Centre Tecnològic de Vilanova i la Geltrú,11
2020,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",3
2020,Càtedra UNESCO de Sostenibilitat,0
2020,Departament d'Arquitectura de Computadors,86
2020,Departament d'Enginyeria Agroalimentària i Biotecnologia,66
2020,Departament d'Enginyeria Civil i Ambiental,362
2020,Departament d'Enginyeria Electrònica,122
2020,Departament d'Enginyeria Elèctrica,91
2020,Departament d'Enginyeria Mecànica,61
2020,"Departament d'Enginyeria Minera, Industrial i TIC",55
2020,Departament d'Enginyeria Química,175
2020,Departament d'Enginyeria Telemàtica,40
2020,Departament d'Enginyeria de Projectes i de la Construcció,51
2020,Departament d'Enginyeria de Serveis i Sistemes d'Informació,15
2020,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",123
2020,Departament d'Estadística i Investigació Operativa,49
2020,Departament d'Expressió Gràfica a l'Enginyeria,40
2020,Departament d'Organització d'Empreses,71
2020,Departament d'Urbanisme i Ordenació del Territori,36
2020,Departament d'Òptica i Optometria,18
2020,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,144
2020,Departament de Ciència i Enginyeria Nàutiques,11
2020,Departament de Ciències de la Computació,65
2020,Departament de Física,237
2020,Departament de Matemàtiques,226
2020,Departament de Mecànica de Fluids,54
2020,Departament de Màquines i Motors Tèrmics,34
2020,Departament de Projectes Arquitectònics,18
2020,Departament de Representació Arquitectònica,13
2020,Departament de Resistència de Materials i Estructures a l'Enginyeria,37
2020,Departament de Tecnologia de l'Arquitectura,64
2020,Departament de Teoria del Senyal i Comunicacions,120
2020,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,47
2020,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2020,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,1
2020,Grup de Recerca Aplicada en Hidrometeorologia,1
2020,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,2
2020,Institut d'Organització i Control de Sistemes Industrials,1
2020,Institut de Ciències de l'Educació,8
2020,Institut de Robòtica i Informàtica Industrial,18
2020,Institut de Tècniques Energètiques,9
2021,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,3
2021,Centre Tecnològic de Vilanova i la Geltrú,13
2021,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",4
2021,Càtedra UNESCO de Sostenibilitat,1
2021,Departament d'Arquitectura de Computadors,83
2021,Departament d'Enginyeria Agroalimentària i Biotecnologia,79
2021,Departament d'Enginyeria Civil i Ambiental,344
2021,Departament d'Enginyeria Electrònica,130
2021,Departament d'Enginyeria Elèctrica,86
2021,Departament d'Enginyeria Mecànica,76
2021,"Departament d'Enginyeria Minera, Industrial i TIC",51
2021,Departament d'Enginyeria Química,206
2021,Departament d'Enginyeria Telemàtica,49
2021,Departament d'Enginyeria de Projectes i de la Construcció,49
2021,Departament d'Enginyeria de Serveis i Sistemes d'Informació,33
2021,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",129
2021,Departament d'Estadística i Investigació Operativa,74
2021,Departament d'Expressió Gràfica a l'Enginyeria,26
2021,Departament d'Organització d'Empreses,72
2021,Departament d'Urbanisme i Ordenació del Territori,41
2021,Departament d'Òptica i Optometria,22
2021,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,151
2021,Departament de Ciència i Enginyeria Nàutiques,16
2021,Departament de Ciències de la Computació,72
2021,Departament de Física,286
2021,Departament de Matemàtiques,231
2021,Departament de Mecànica de Fluids,62
2021,Departament de Màquines i Motors Tèrmics,35
2021,Departament de Projectes Arquitectònics,19
2021,Departament de Representació Arquitectònica,16
2021,Departament de Resistència de Materials i Estructures a l'Enginyeria,56
2021,Departament de Tecnologia de l'Arquitectura,84
2021,Departament de Teoria del Senyal i Comunicacions,107
2021,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,40
2021,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2021,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,1
2021,Grup de Recerca Aplicada en Hidrometeorologia,1
2021,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,2
2021,Institut d'Organització i Control de Sistemes Industrials,0
2021,Institut de Ciències de l'Educació,14
2021,Institut de Robòtica i Informàtica Industrial,17
2021,Institut de Tècniques Energètiques,14
2022,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,1
2022,Centre Tecnològic de Vilanova i la Geltrú,8
